       pos                  sx                  sy                  sxb                  syb
      100.0000000000      108.1457908161       21.1254072354      -19.9340029326      -88.9653405012
      101.4911334926      108.9591040179       19.1685217219       -6.7950553822      -88.5218566752
      102.9822669852      102.9723233548       20.2325507383       10.9340604278      -21.3676724852
      104.4734004778       95.2882121513       21.9877640116        5.6136490394       -3.0854911162
      105.9645339703       86.8318384501       24.0210008721       -7.6491683881       -0.7365137860
      107.4556674629       78.4092392679       26.0257548599      -21.7522164999       -3.2921154822
      108.9468009555       70.4228777518       27.8570904198      -33.6098495968       -6.7682520845
      110.4379344481       63.1196852739       29.4332669649      -42.4415882386       -9.8556044999
      111.9290679407       56.6104705677       30.7242668926      -48.3370859705      -12.1983825616
      113.4202014333       49.8964391389       31.8506129869      -51.5955286625      -13.7925430883
