        n                   pHS                nHS
      122.0000000000        0.0510981232       -0.0897086188
      123.0000000000        0.0510981232       -0.0897086188
      124.0000000000        0.0510981232       -0.0897086188
      125.0000000000        0.0510981232       -0.0897086188
      126.0000000000        0.0510981232       -0.0897086188
      127.0000000000        0.0510981232       -0.0897086188
      128.0000000000        0.0510981232       -0.0897086188
      129.0000000000        0.0510981232       -0.0897086188
      130.0000000000        0.0510981232       -0.0897086188
      131.0000000000        0.0510981232       -0.0897086188
      132.0000000000        0.0510981232       -0.0897086188
      133.0000000000        0.0510981232       -0.0897086188
      134.0000000000        0.0510981232       -0.0897086188
      135.0000000000        0.0510981232       -0.0897086188
      136.0000000000        0.0510981232       -0.0897086188
      137.0000000000        0.0510981232       -0.0897086188
      138.0000000000        0.0510981232       -0.0897086188
      139.0000000000        0.0510981232       -0.0897086188
      140.0000000000        0.0510981232       -0.0897086188
      141.0000000000        0.0510981232       -0.0897086188
      142.0000000000        0.0510981232       -0.0897086188
      143.0000000000        0.0510981232       -0.0897086188
      144.0000000000        0.0510981232       -0.0897086188
      145.0000000000        0.0510981232       -0.0897086188
      146.0000000000        0.0510981232       -0.0897086188
      147.0000000000        0.0510981232       -0.0897086188
      148.0000000000        0.0510981232       -0.0897086188
      149.0000000000        0.0510981232       -0.0897086188
      150.0000000000        0.0510981232       -0.0897086188
      151.0000000000        0.0510981232       -0.0897086188
      152.0000000000        0.0510981232       -0.0897086188
      153.0000000000        0.0510981232       -0.0897086188
      154.0000000000        0.0510981232       -0.0897086188
      155.0000000000        0.0510981232       -0.0897086188
      156.0000000000        0.0510981232       -0.0897086188
      157.0000000000        0.0510981232       -0.0897086188
      158.0000000000        0.0510981232       -0.0897086188
      159.0000000000        0.0510981232       -0.0897086188
      160.0000000000        0.0510981232       -0.0897086188
      161.0000000000        0.0510981232       -0.0897086188
      162.0000000000        0.0510981232       -0.0897086188
      163.0000000000        0.0510981232       -0.0897086188
      164.0000000000        0.0510981232       -0.0897086188
      165.0000000000        0.0510981232       -0.0897086188
      166.0000000000        0.0510981232       -0.0897086188
      167.0000000000        0.0510981232       -0.0897086188
      168.0000000000        0.0510981232       -0.0897086188
      169.0000000000        0.0510981232       -0.0897086188
      170.0000000000        0.0510981232       -0.0897086188
      171.0000000000        0.0510981232       -0.0897086188
      172.0000000000        0.0510981232       -0.0897086188
      173.0000000000        0.0510981232       -0.0897086188
      174.0000000000        0.0510981232       -0.0897086188
      175.0000000000        0.0510981232       -0.0897086188
      176.0000000000        0.0510981232       -0.0897086188
      177.0000000000        0.0510981232       -0.0897086188
      178.0000000000        0.0510981232       -0.0897086188
      179.0000000000        0.0510981232       -0.0897086188
      180.0000000000        0.0510981232       -0.0897086188
      181.0000000000        0.0510981232       -0.0897086188
      182.0000000000        0.0510981232       -0.0897086188
      183.0000000000        0.0510981232       -0.0897086188
      184.0000000000        0.0510981232       -0.0897086188
      185.0000000000        0.0510981232       -0.0897086188
      186.0000000000        0.0510981232       -0.0897086188
      187.0000000000        0.0510981232       -0.0897086188
      188.0000000000        0.0510981232       -0.0897086188
      189.0000000000        0.0510981232       -0.0897086188
      190.0000000000        0.0510981232       -0.0897086188
      191.0000000000        0.0510981232       -0.0897086188
      192.0000000000        0.0510981232       -0.0897086188
      193.0000000000        0.0510981232       -0.0897086188
      194.0000000000        0.0510981232       -0.0897086188
      195.0000000000        0.0510981232       -0.0897086188
      196.0000000000        0.0510981232       -0.0897086188
      197.0000000000        0.0510981232       -0.0897086188
      198.0000000000        0.0510981232       -0.0897086188
      199.0000000000        0.0510981232       -0.0897086188
      200.0000000000        0.0510981232       -0.0897086188
