n		def1		def2
325		-46.2834583640		-46.8383370788
326		-46.9127252766		-47.5513676576
327		-47.5535388586		-48.2878360877
328		-48.2051045249		-49.0463065596
329		-48.8666900310		-49.8254496084
330		-49.5376200041		-50.6240330764
331		-50.2172710077		-51.4409139372
332		-50.9050670788		-52.2750308904
333		-38.0368220573		-43.6658246543
334		-37.7100470991		-42.6569037456
335		-37.4733418308		-41.8036929655
336		-37.3184055120		-41.0925202660
337		-37.2378174941		-40.5111291588
338		-37.2249313568		-40.0485106957
339		-37.2737833434		-39.6947579559
340		-37.3790129457		-39.4409396762
341		-37.5357938467		-39.2789902165
342		-37.7397737190		-39.2016135067
343		-37.9870216176		-39.2021989952
344		-38.2739819039		-39.2747479305
345		-38.5974338014		-39.4138085613
346		-38.9544558203		-39.6144190554
347		-39.3423944015		-39.8720571154
348		-39.7588362266		-40.1825954182
349		-40.2015837187		-40.5422621309
350		-40.6686333295		-40.9476058611
351		-41.1581562602		-41.3954644894
352		-41.6684813168		-41.8829374066
353		-42.1980796381		-42.4073607434
354		-42.7455510705		-42.9662852351
355		-43.3096119945		-43.5574564106
356		-43.8890844313		-44.1787968351
357		-44.4828862822		-44.8283901696
358		-45.0900225694		-45.5044668437
359		-45.7095775665		-46.2053911571
360		-46.3407077184		-46.9296496554
361		-46.9826352629		-47.6758406384
362		-47.6346424787		-48.4426646795
363		-48.2960664902		-49.2289160477
364		-48.9662945717		-50.0334749384
365		-37.0268411632		-42.4066734457
366		-36.7158567592		-41.4335480463
367		-36.4912773405		-40.6097651488
368		-36.3452989614		-39.9224712825
369		-36.2709301353		-39.3601197225
370		-36.2618958319		-38.9123181239
371		-36.3125542149		-38.5696962101
372		-36.4178242385		-38.3237905682
373		-36.5731225275		-38.1669440862
374		-36.7743082172		-38.0922179559
375		-37.0176346386		-38.0933144918
376		-37.2997069044		-38.1645092867
377		-37.6174445983		-38.3005914445
378		-37.9680488852		-38.4968108236
379		-38.3489734627		-38.7488313736
380		-38.7578988576		-39.0526897856
381		-39.1927096406		-39.4047587835
382		-39.6514741933		-39.8017144772
383		-40.1324267119		-40.2405072808
384		-40.6339511736		-40.7183359619
385		-41.1545670306		-41.2326244502
386		-41.6929164254		-41.7810010783
387		-42.2477527486		-42.3612799729
388		-42.8179303852		-42.9714443499
389		-43.4023955112		-43.6096314956
390		-44.0001778238		-44.2741192476
391		-44.6103830997		-44.9633138078
392		-45.2321864896		-45.6757387430
393		-45.8648264704		-46.4100250433
394		-46.5075993822		-47.1649021282
395		-47.1598544887		-47.9391896970
396		-36.1109772550		-41.2507428972
397		-35.8145953318		-40.3108394789
398		-35.6012189592		-39.5143721682
399		-35.4634984333		-38.8492359173
400		-35.3948356446		-38.3045345046
401		-35.3892968055		-37.8704420277
402		-35.4415365619		-37.5380823141
403		-35.5467318350		-37.2994236611
404		-35.7005240045		-37.1471867320
405		-35.8989682643		-37.0747637732
406		-36.1384891623		-37.0761476023
407		-36.4158414840		-37.1458690496
408		-36.7280757697		-37.2789417343
409		-37.0725078549		-37.4708132170
410		-37.4466919143		-37.7173217112
411		-37.8483965640		-38.0146576504
412		-38.2755836372		-38.3593295058
413		-38.7263893029		-38.7481333331
414		-39.1991072423		-39.1781255964
415		-39.6921736349		-39.6465988790
416		-40.2041537387		-40.1510601400
417		-40.7337298790		-40.6892112211
418		-41.2796906818		-41.2589313460
419		-41.8409214094		-41.8582613855
420		-42.4163952744		-42.4853896919
421		-43.0051656224		-43.1386393284
422		-43.6063588875		-43.8164565416
423		-44.2191682365		-44.5174003427
424		-44.8428478281		-45.2401330790
425		-45.4767076205		-45.9834118922
426		-35.2813234274		-40.1894399806
427		-34.9984657438		-39.2804173589
428		-34.7954538644		-38.5093412323
429		-34.6653543672		-37.8647923970
430		-34.6019305094		-37.3364721320
431		-34.5995627079		-36.9150759973
432		-34.6531792169		-36.5921836834
433		-34.7581955467		-36.3601626316
434		-34.9104613969		-36.2120835035
435		-35.1062140667		-36.1416458755
436		-35.3420374635		-36.1431127781
437		-35.6148259636		-36.2112529077
438		-35.9217524868		-36.3412895097
439		-36.2602402401		-36.5288550758
440		-36.6279376637		-36.7699511204
441		-37.0226961776		-37.0609124029
442		-37.4425503818		-37.3983750512
443		-37.8857004115		-37.7792481122
444		-38.3504961886		-38.2006881229
445		-38.8354233428		-38.6600763446
446		-39.3390906090		-39.1549983517
447		-39.8602185280		-39.6832257043
448		-40.3976293038		-40.2426994699
449		-40.9502376851		-40.8315153860
450		-41.5170427579		-41.4479104838
451		-42.0971205491		-42.0902510123
452		-42.6896173511		-42.7570215229
453		-43.2937436918		-43.4468149915
454		-43.9087688802		-44.1583238679
455		-34.5307657341		-39.2150284768
456		-34.2604518993		-38.3347527910
457		-34.0670412106		-37.5873114964
458		-33.9439825744		-36.9619152617
459		-33.8853719080		-36.4488153382
460		-33.8858795216		-36.0391883141
461		-33.9406866600		-35.7250352837
462		-34.0454299145		-35.4990934179
463		-34.1961524198		-35.3547582321
464		-34.3892609132		-35.2860151085
465		-34.6214878741		-35.2873788435
466		-34.8898580758		-35.3538401723
467		-35.1916589790		-35.4808183743
468		-35.5244144776		-35.6641191898
469		-35.8858615758		-35.8998973857
470		-36.2739296358		-36.1846234009
471		-36.6867218804		-36.5150535753
472		-37.1224988813		-36.8882035374
473		-37.5796637964		-37.3013243769
474		-38.0567491532		-37.7518812801
475		-38.5524049966		-38.2375343449
476		-39.0653882491		-38.7561213299
477		-39.5945531438		-39.3056421201
478		-40.1388426121		-39.8842447209
479		-40.6972805207		-40.4902126132
480		-41.2689646658		-41.1219533228
481		-41.8530604424		-41.7779880749
482		-42.4487951175		-42.4569424200
483		-33.8528913232		-38.3205300917
484		-33.5942283141		-37.4670528926
485		-33.4097228616		-36.7416406973
486		-33.2931757536		-36.1340838569
487		-33.2389897581		-35.6351408701
488		-33.2421031687		-35.2364329177
489		-33.2979315939		-34.9303513747
490		-33.4023168515		-34.7099765153
491		-33.5514820012		-34.5690058971
492		-33.7419916961		-34.5016911401
493		-33.9707171528		-34.5027820009
494		-34.2348051421		-34.5674768056
495		-34.5316504889		-34.6913784352
496		-34.8588716404		-34.8704551722
497		-35.2142889235		-35.1010058108
498		-35.5959051631		-35.3796285145
499		-36.0018883788		-35.7031929755
500		-36.4305563125		-36.0688154857
501		-36.8803625734		-36.4738365818
502		-37.3498842139		-36.9158009709
503		-37.8378105720		-37.3924394772
504		-38.3429332399		-37.9016527842
505		-38.8641370305		-38.4414967754
506		-39.4003918351		-39.0101692986
507		-39.9507452732		-39.6059981999
508		-40.5143160504		-40.2274304941
509		-41.0902879489		-40.8730225493
510		-33.2419086104		-37.4996384946
511		-32.9940815772		-36.6711775058
512		-32.8178458010		-35.9663239483
513		-32.7073265794		-35.3754027380
514		-32.6572102733		-34.8896411219
515		-32.6626833671		-34.5010719664
516		-32.7193789679		-34.2024487544
517		-32.8233297314		-33.9871707085
518		-32.9709263556		-33.8492166907
519		-33.1588809070		-33.7830867327
520		-33.3841943558		-33.7837502113
521		-33.6441277823		-33.8465998296
522		-33.9361767930		-33.9674106781
523		-34.2580487516		-34.1423037527
524		-34.6076424798		-34.3677133890
525		-34.9830301318		-34.6403581466
526		-35.3824409863		-34.9572147375
527		-35.8042469293		-35.3154946443
528		-36.2469494351		-35.7126231218
529		-36.7091678738		-36.1462203115
530		-37.1896289958		-36.6140842333
531		-37.6871574627		-37.1141754479
532		-38.2006673102		-37.6446032079
533		-38.7291542414		-38.2036129368
534		-39.2716886608		-38.7895748954
535		-39.8274093716		-39.4009739102
536		-32.6925777344		-36.7466443984
537		-32.4548419167		-35.9415665824
538		-32.2862945174		-35.2559229256
539		-32.1813606794		-34.6805322542
540		-32.1349893483		-34.2070557936
541		-32.1425972805		-33.8279083082
542		-32.2000197781		-33.5361798322
543		-32.3034672515		-33.3255665782
544		-32.4494868387		-33.1903098222
545		-32.6349284288		-33.1251417369
546		-32.8569145249		-33.1252372903
547		-33.1128134666		-33.1861714554
548		-33.4002155941		-33.3038810747
549		-33.7169119980		-33.4746308181
550		-34.0608755416		-33.6949827455
551		-34.4302438883		-33.9617690485
552		-34.8233042992		-34.2720676045
553		-35.2384799966		-34.6231800193
554		-35.6743179158		-35.0126118784
555		-36.1294776882		-35.4380549602
556		-36.6027217202		-35.8973711946
557		-37.0929062465		-36.3885781780
558		-37.5989732528		-36.9098360759
559		-38.1199431748		-37.4594357674
560		-38.6549082904		-38.0357880992
561		-32.2001498172		-36.0563700992
562		-31.9718234200		-35.2731767173
563		-31.8104319373		-34.6055039652
564		-31.7106780812		-34.0446278636
565		-31.6677543644		-33.5826121432
566		-31.6772915578		-33.2122264463
567		-31.7353132445		-32.9268741259
568		-31.8381956669		-32.7205283836
569		-31.9826321794		-32.5876756678
570		-32.1656017180		-32.5232654131
571		-32.3843407824		-32.5226653263
572		-32.6363184954		-32.5816215366
573		-32.9192143647		-32.6962230223
574		-33.2308984221		-32.8628698013
575		-33.5694134586		-33.0782444437
576		-33.9329591101		-33.3392865212
577		-34.3198775820		-33.6431696558
578		-34.7286408238		-33.9872808763
579		-35.1578389929		-34.3692020232
580		-35.6061700643		-34.7866929785
581		-36.0724304589		-35.2376765195
582		-36.5555065825		-35.7202246253
583		-37.0543671763		-36.2325460779
584		-37.5680563934		-36.7729752256
585		-31.7603137891		-35.4241121444
586		-31.5407716900		-34.6614255454
587		-31.3860477004		-34.0105838208
588		-31.2911019379		-33.4632869528
589		-31.2513532299		-33.0119726289
590		-31.2626315816		-32.6497408077
591		-31.3211361798		-32.3702870006
592		-31.4233982152		-32.1678431433
593		-31.5662479055		-32.0371250913
594		-31.7467851901		-31.9732859102
595		-31.9623536439		-31.9718742482
596		-32.2105172146		-32.0287971734
597		-32.4890394457		-32.1402869425
598		-32.7958648906		-32.3028712389
599		-33.1291024607		-32.5133464760
600		-33.4870104867		-32.7687538172
601		-33.8679832960		-33.0663576032
602		-34.2705391376		-33.4036259200
603		-34.6933093049		-33.7782130719
604		-35.1350283243		-34.1879437518
605		-35.5945250955		-34.6307987266
606		-36.0707148809		-35.1049018777
607		-36.5625920546		-35.6085084539
608		-31.3691497275		-34.8455910043
609		-31.1578179067		-34.1021429160
610		-31.0093127612		-33.4670820237
611		-30.9188335236		-32.9325021268
612		-30.8820096529		-32.4911889203
613		-30.8948569242		-32.1365503082
614		-30.9537385565		-31.8625546489
615		-31.0553307338		-31.6636759215
616		-31.1965919652		-31.5348449455
617		-31.3747358086		-31.4714059079
618		-31.5872065470		-31.4690775530
619		-31.8316574611		-31.5239184769
620		-32.1059313923		-31.6322960435
621		-32.4080433271		-31.7908585021
622		-32.7361647700		-31.9965099387
623		-33.0886097028		-32.2463877420
624		-33.4638219506		-32.5378423037
625		-33.8603638002		-32.8684187071
626		-34.2769057331		-33.2358401881
627		-34.7122171518		-33.6379931788
628		-35.1651579959		-34.0729137646
629		-35.6346711502		-34.5387754090
630		-31.0230878216		-34.3169067934
631		-30.8194384212		-33.5915279241
632		-30.6767394546		-32.9712789507
633		-30.5904126446		-32.4486200917
634		-30.5562837966		-32.0166614156
635		-30.5705421672		-31.6690983574
636		-30.6297044247		-31.4001544656
637		-30.7305826245		-31.2045304736
638		-30.8702556986		-31.0773589113
639		-31.0460440308		-31.0141635868
640		-31.2554867451		-31.0108233525
641		-31.4963213860		-31.0635396516
642		-31.7664657113		-31.1688074052
643		-32.0640013533		-31.3233888581
644		-32.3871591358		-31.5242900481
645		-32.7343058627		-31.7687396069
646		-33.1039324127		-32.0541696371
647		-33.4946430005		-32.3781984374
648		-33.9051454750		-32.7386148813
649		-34.3342425469		-33.1333642701
650		-34.7808238453		-33.5605355093
651		-30.7188722077		-33.8345002303
652		-30.5224191394		-33.1261110144
653		-30.3851462931		-32.5197788371
654		-30.3026827405		-32.0083053837
655		-30.2710375970		-31.5851035304
656		-30.2865623635		-31.2441375787
657		-30.3459174626		-30.9798700951
658		-30.4460424485		-30.7872145370
659		-30.5841294399		-30.6614929618
660		-30.7575993887		-30.5983982089
661		-30.9640808454		-30.5939600264
662		-31.2013909320		-30.6445146842
663		-31.4675182648		-30.7466776737
664		-31.7606076082		-30.8973191453
665		-32.0789460633		-31.0935417778
666		-32.4209506220		-31.3326608141
667		-32.7851569382		-31.6121860257
668		-33.1702091830		-31.9298054008
669		-33.5748508700		-32.2833703729
670		-33.9979165475		-32.6708824288
671		-30.4535290301		-33.3951181465
672		-30.2638240641		-32.7027204920
673		-30.1316268712		-32.1094770840
674		-30.0527600559		-31.6085083069
675		-30.0234041246		-31.1935101289
676		-30.0400625293		-30.8586986239
677		-30.0995305487		-30.5987605367
678		-30.1988675378		-30.4088091535
679		-30.3353721371		-30.2843448413
680		-30.5065600925		-30.2212197041
681		-30.7101443767		-30.2156058748
682		-30.9440173492		-30.2639670293
683		-31.2062347219		-30.3630327540
684		-31.4950011272		-30.5097754520
685		-31.8086571121		-30.7013895071
686		-32.1456674022		-30.9352724602
687		-32.5046102982		-31.2090079834
688		-32.8841680848		-31.5203504615
689		-33.2831183446		-31.8672110111
690		-30.2243381780		-32.9957829512
691		-30.0409674527		-32.3184528667
692		-29.9135223425		-31.7375313044
693		-29.8380063540		-31.2464365354
694		-29.8107604679		-30.8391295637
695		-29.8284306419		-30.5100625516
696		-29.8879388314		-30.2541327835
697		-29.9864571022		-30.0666415019
698		-30.1213844683		-29.9432570385
699		-30.2903261335		-29.8799817395
700		-30.4910748600		-29.8731222495
701		-30.7215942217		-29.9192627729
702		-30.9800035303		-30.0152409822
703		-31.2645642497		-30.1581262792
704		-31.5736677353		-30.3452001570
705		-31.9058241549		-30.5739384344
706		-32.2596524673		-30.8419951663
707		-32.6338713445		-31.1471880553
708		-30.0288082277		-32.6337655487
709		-29.8513891300		-31.9706465431
710		-29.7283970128		-31.4013356322
711		-29.6560047183		-30.9195299139
712		-29.6307036853		-30.5194388631
713		-29.6492736952		-30.1957363167
714		-29.7087558482		-29.9435175430
715		-29.8064283823		-29.7582607928
716		-29.9397850035		-29.6357928073
717		-30.1065154355		-29.5722578292
718		-30.3044879351		-29.5640897188
719		-30.5317335545		-29.6079868283
720		-30.7864319550		-29.7008893308
721		-31.0668986035		-29.8399587374
722		-31.3715732021		-30.0225593672
723		-31.6990092205		-30.2462415639
724		-32.0478644135		-30.5087264771
725		-29.8646541845		-32.3065612702
726		-29.6928325555		-31.6568584350
727		-29.5740166563		-31.0984978823
728		-29.5045380536		-30.6254380530
729		-29.4810294390		-30.2321216706
730		-29.5003964252		-29.9134309784
731		-29.5597923107		-29.6646476520
732		-29.6565954650		-29.4814168391
733		-29.7883890296		-29.3597148523
734		-29.9529426706		-29.2958200986
735		-30.1481961533		-29.2862868849
736		-30.3722445344		-29.3279217814
737		-30.6233247975		-29.4177622648
738		-30.8998037742		-29.5530573981
739		-31.2001672147		-29.7312503290
740		-31.5230098873		-29.9499624195
741		-29.7297776758		-32.0118684490
742		-29.5632253042		-31.3748431412
743		-29.4483292155		-30.8268192106
744		-29.3815699500		-30.3620003754
745		-29.3597129787		-29.9750485969
746		-29.3797823753		-29.6610422922
747		-29.4390372215		-29.4154388532
748		-29.5349504294		-29.2340409732
749		-29.6651897047		-29.1129663485
750		-29.8276004083		-29.0486203771
751		-30.0201901075		-29.0376715232
752		-30.2411146300		-29.0770290575
753		-30.4886654590		-29.1638229178
754		-30.7612583272		-29.2953854666
755		-31.0574228827		-29.4692349451
756		-29.6222492945		-31.7475693126
757		-29.4606616647		-31.1225343708
758		-29.3494475937		-30.5842759677
759		-29.2852276210		-30.1272283132
760		-29.2648921851		-29.7462596896
761		-29.2855770146		-29.4366333930
762		-29.3446410397		-29.1939726447
763		-29.4396465376		-29.0142290216
764		-29.5683412580		-28.8936540088
765		-29.7286423088		-28.8287733314
766		-29.9186216099		-28.8163637596
767		-30.1364927451		-28.8534321241
768		-30.3805990621		-28.9371963057
769		-30.6494028914		-29.0650679935
770		-29.5402928337		-31.5117129140
771		-29.3833870984		-30.8980283466
772		-29.2756342869		-30.3690034836
773		-29.2137866654		-29.9192893972
774		-29.1948524267		-29.5439487659
775		-29.2160726594		-29.2384193196
776		-29.2749006454		-28.9984809527
