       pos                  sx                  sy                  sxb                  syb
      100.0000000000      114.1005322740       15.3861177025      -15.9796050851      -69.8332739484
      101.4911334926      113.5512334989       23.6818617863      -23.3662432343      -94.3512517940
      102.9822669852      102.3715476608       26.0625229331      -11.6628084513      -51.5768689002
      104.4734004778       90.1118225587       27.9265587254       -2.8193270629      -20.4241180847
      105.9645339703       77.9514924001       29.3300528324        3.6335197298        1.1092609618
      107.4556674629       66.6420726222       30.3414093994        8.0712654489       15.0192755212
      108.9468009555       56.6135329426       31.0306042166       10.8722232045       23.0841970307
      110.4379344481       48.0615658853       31.4634552365       12.3912821806       26.8285730936
      111.9290679407       41.0183803041       31.6984682171       12.9444761525       27.5164875183
      113.4202014333       34.5948415581       31.7633077698       12.5764337490       25.3560338302
