        n                 displacement
        0.0000000000       -6.1185034268
        0.5000000000       -6.1180636329
        1.0000000000       -6.1168991902
        1.5000000000       -6.1148432030
        2.0000000000       -6.1120060354
        2.5000000000       -6.1082208183
        3.0000000000       -6.1035100978
        3.5000000000       -6.0976978048
        4.0000000000       -6.0906512087
        4.5000000000       -6.0820956140
        5.0000000000       -6.0716135945
        5.5000000000       -6.0586869039
        6.0000000000       -6.0423749235
        6.5000000000       -6.0214021126
        7.0000000000       -5.9938287399
        7.5000000000       -5.9574396286
        8.0000000000       -5.9083125438
        8.5000000000       -5.8413478928
        9.0000000000       -5.7464985727
        9.5000000000       -5.6088369215
       10.0000000000       -5.4183064399
       10.5000000000       -5.1718574670
       11.0000000000       -4.8733135908
       11.5000000000       -4.5243471223
       12.0000000000       -4.1404856596
       12.5000000000       -3.7428132310
       13.0000000000       -3.3407390825
       13.5000000000       -2.9351393710
       14.0000000000       -2.5276768259
       14.5000000000       -2.1222681358
       15.0000000000       -1.7228497866
       15.5000000000       -1.3331897976
       16.0000000000       -0.9582074025
       16.5000000000       -0.6153854555
       17.0000000000       -0.3336301435
       17.5000000000       -0.1353198648
       18.0000000000       -0.0200196623
       18.5000000000        0.0257260879
       19.0000000000        0.0292249936
       19.5000000000        0.0189567523
       20.0000000000        0.0084586573
       20.5000000000        0.0030759888
       21.0000000000        0.0011839459
       21.5000000000        0.0008580668
       22.0000000000        0.0009803544
       22.5000000000        0.0010984403
       23.0000000000        0.0011523107
       23.5000000000        0.0011951428
       24.0000000000        0.0011908134
       24.5000000000        0.0012103584
       25.0000000000        0.0011983653
